% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
28.561	2	1	5	3439.28	0
28.601	2	1	5	7923.2	0
28.641	2	1	5	18710	0
28.681	2	1	5	56699.5	0
28.721	2	1	5	78162.4	0
28.761	2	1	5	15694.6	0
28.801	2	1	5	3892.37	0
28.841	2	1	5	1580.91	0
28.881	2	1	5	1521.13	0
28.921	2	1	5	2394.05	0
28.961	2	1	5	3929.61	0
29.001	2	1	5	14911	0
29.041	2	1	5	16988.3	0
29.081	2	1	5	26378	0
29.121	2	1	5	15765.8	0
29.161	2	1	5	1646.21	0
29.201	2	1	5	718.098	0
29.241	2	1	5	2506.47	0
29.281	2	1	5	4703.52	0
29.321	2	1	5	6740.7	0
29.361	2	1	5	7449.47	0
29.401	2	1	5	5147.28	0
29.441	2	1	5	2013.2	0
29.481	2	1	5	862.197	0
29.521	2	1	5	16663	0
29.561	2	1	5	16335.2	0
29.601	2	1	5	16357.3	0
29.641	2	1	5	16405.5	0
29.681	2	1	5	15835.3	0
29.721	2	1	5	12201.5	0
29.761	2	1	5	5462.62	0
29.801	2	1	5	4255.01	0
29.841	2	1	5	4693.98	0
29.881	2	1	5	4826.4	0
29.921	2	1	5	5222.46	0
29.961	2	1	5	7763.16	0
30.001	2	1	5	9688.66	0
30.041	2	1	5	6444.05	0
30.081	2	1	5	7047.12	0
30.121	2	1	5	3606.9	0
30.161	2	1	5	1864.8	0
30.201	2	1	5	1117.05	0
30.241	2	1	5	776.053	0
30.281	2	1	5	757.346	0
30.321	2	1	5	1728.6	0
30.361	2	1	5	7574.61	0
30.401	2	1	5	9378.99	0
30.441	2	1	5	5628.02	0
30.481	2	1	5	4205.64	0
30.521	2	1	5	8040.04	0
30.561	2	1	5	8089.09	0
30.601	2	1	5	7732.96	0
30.641	2	1	5	6623.65	0
30.681	2	1	5	4218.28	0
30.721	2	1	5	1445.98	0
30.761	2	1	5	330.037	0
30.801	2	1	5	296.402	0
30.841	2	1	5	387.492	0
30.881	2	1	5	397.103	0
30.921	2	1	5	413.31	0
30.961	2	1	5	640.171	0
31.001	2	1	5	9814.81	0
31.041	2	1	5	12783.8	0
31.081	2	1	5	5122.86	0
31.121	2	1	5	1766.03	0
31.161	2	1	5	1578.16	0
31.201	2	1	5	3126.96	0
31.241	2	1	5	7003.26	0
31.281	2	1	5	16980.3	0
31.321	2	1	5	45436.8	0
31.361	2	1	5	62929.3	0
31.401	2	1	5	25075.6	0
31.441	2	1	5	8994.05	0
31.481	2	1	5	3739.12	0
31.521	2	1	5	2385.23	0
31.561	2	1	5	7890.08	0
31.601	2	1	5	19928.5	0
31.641	2	1	5	38512.8	0
31.681	2	1	5	38879.3	0
31.721	2	1	5	21322.8	0
31.761	2	1	5	9869.22	0
31.801	2	1	5	4560.93	0
31.841	2	1	5	2330.07	0
31.881	2	1	5	1752.57	0
31.921	2	1	5	2333.13	0
31.961	2	1	5	4137.85	0
32.001	2	1	5	5715.72	0
32.041	2	1	5	1409.78	0
32.081	2	1	5	2188.89	0
32.121	2	1	5	3201.23	0
32.161	2	1	5	3892.65	0
32.201	2	1	5	4009.18	0
32.241	2	1	5	3538.91	0
32.281	2	1	5	3559.75	0
32.321	2	1	5	10451.6	0
32.361	2	1	5	22416.4	0
32.401	2	1	5	24619.3	0
32.441	2	1	5	23558.8	0
32.481	2	1	5	21818.5	0
32.521	2	1	5	3824.73	0
32.561	2	1	5	1595.46	0
32.601	2	1	5	433.641	0
32.641	2	1	5	248.692	0
32.681	2	1	5	561.633	0
32.721	2	1	5	1050.41	0
32.761	2	1	5	1597.23	0
32.801	2	1	5	2029.34	0
32.841	2	1	5	1879.04	0
32.881	2	1	5	1281.58	0
32.921	2	1	5	921.099	0
